name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
Nathan Wood-Gordon,DEF,Southampton,0,0,0,0,16,0,0,0,0,1,0,0,40,True,0,2,SOUNOT,16,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Rodrigo Muniz Carvalho,FWD,Fulham,0,1,0,79,11,0,0,0,0,1,2,2,61,True,0,2,FULLCI,8,10,"{""0"": 0.5390620994601796, ""1"": 0.357627164941505, ""2"": 0.0910501490849599, ""3"": 0.012260586513357284}"
Benjamin White,DEF,Arsenal,1,0,0,90,2,0,0,0,0,2,0,6,65,False,0,2,AVLARS,1,1,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Cameron Burgess,DEF,Ipswich,0,0,0,0,13,0,0,0,0,1,4,0,40,False,0,2,MNCIPS,9,12,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Abdul Fatawu,MID,Leicester,0,2,0,90,9,0,0,0,0,1,2,2,55,False,0,2,FULLCI,10,8,"{""0"": 0.9414825182892563, ""1"": 0.0574923918881394, ""2"": 0.0010195292343909146, ""3"": 5.5605882143504315e-06}"
Dominik Szoboszlai,MID,Liverpool,1,0,0,90,4,0,0,0,0,0,2,2,65,True,1,2,LIVBRE,11,3,"{""0"": 0.9232425689697268, ""1"": 0.07675743103027366, ""3"": 0, ""2"": 0}"
Tim Iroegbunam,MID,Everton,0,4,0,90,18,0,0,0,0,0,4,2,45,False,0,2,TOTEVE,7,17,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Neco Williams,DEF,Nott'm Forest,1,0,0,90,17,0,0,0,0,1,0,6,45,False,0,2,SOUNOT,15,16,"{""0"": 0.7428135551365211, ""1"": 0.23110416877574474, ""2"": 0.024843303756324445, ""3"": 0.0012389723314108637}"
Roméo Lavia,MID,Chelsea,0,0,0,0,20,0,0,0,0,6,2,0,45,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Leon Bailey,MID,Aston Villa,0,2,0,90,1,0,0,0,0,2,0,2,65,True,0,2,AVLARS,2,0,"{""0"": 0.9626609608531, ""1"": 0.0373390391469004, ""3"": 0, ""2"": 0}"
